Code,Mountain,Locality,Country,Height
EVR,Mount Everest,Himalayas,Nepal,8848
ACG,Aconcagua,Andes,Argentina,6962
DNL,Denali,Alaska Range,United States,6191
KLM,Mount Kilimanjaro,Eastern Rift,Tanzania,5895
CRC,Pico Cristobal Colon,Sierra Nevada de Santa Marta,Colombia,5700
LGN,Mount Logan,Saint Elias Mountains,Canada,5959
ORZ,Pico de Orizaba,Trans-Mexican Volcanic Belt,Mexico,5636
VNM,Vinson Massif,Sentinel Range,,4892
JAY,Puncak Jaya,Sudirman Range,Indonesia,4884
ELB,Mount Elbrus,Caucasus Mountains,Russia,5642